,Rooms,Price,Date,Propertycount,Distance,Qtr,Year,Type_h,Type_t,Type_u,Regionname_Eastern Metropolitan,Regionname_Northern Metropolitan,Regionname_South-Eastern Metropolitan,Regionname_Southern Metropolitan,Regionname_Victoria,Regionname_Western Metropolitan,Method_PI,Method_S,Method_SA,Method_SP,Method_VB
66,3,1110000.0,2017-01-04,5713,13.4,1,2017,1,0,0,1,0,0,0,0,0,0,1,0,0,0
67,4,960000.0,2017-01-04,2867,13.4,1,2017,1,0,0,1,0,0,0,0,0,1,0,0,0,0
68,5,1090000.0,2017-01-04,2867,13.4,1,2017,1,0,0,1,0,0,0,0,0,0,1,0,0,0
69,3,980000.0,2017-01-04,4387,13.4,1,2017,1,0,0,1,0,0,0,0,0,1,0,0,0,0
71,4,1925000.0,2017-01-04,4387,13.4,1,2017,1,0,0,1,0,0,0,0,0,1,0,0,0,0
72,3,710000.0,2017-01-04,4387,13.4,1,2017,0,0,1,1,0,0,0,0,0,0,1,0,0,0
73,4,985000.0,2017-01-04,2887,27.0,1,2017,1,0,0,0,0,1,0,0,0,0,1,0,0,0
75,2,420000.0,2017-01-04,4605,10.9,1,2017,0,0,1,1,0,0,0,0,0,0,0,0,1,0
76,3,500500.0,2017-01-04,3589,8.6,1,2017,1,0,0,0,0,0,0,0,1,0,1,0,0,0
77,2,490000.0,2017-01-04,3589,8.6,1,2017,1,0,0,0,0,0,0,0,1,0,1,0,0,0
78,2,500000.0,2017-01-04,3589,8.6,1,2017,0,1,0,0,0,0,0,0,1,0,0,0,1,0
82,4,2250000.0,2017-01-04,10579,10.5,1,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,1
87,3,1958000.0,2017-01-04,6938,10.3,1,2017,1,0,0,0,0,0,1,0,0,0,1,0,0,0
88,4,2137000.0,2017-01-04,6938,10.3,1,2017,1,0,0,0,0,0,1,0,0,0,1,0,0,0
90,4,2975000.0,2017-01-04,6938,10.3,1,2017,1,0,0,0,0,0,1,0,0,0,1,0,0,0
92,3,457000.0,2017-01-04,4294,14.0,1,2017,1,0,0,0,1,0,0,0,0,0,1,0,0,0
94,2,740000.0,2017-01-04,11918,5.2,1,2017,1,0,0,0,1,0,0,0,0,1,0,0,0,0
96,3,900000.0,2017-01-04,11918,5.2,1,2017,1,0,0,0,1,0,0,0,0,0,0,0,1,0
97,4,1250000.0,2017-01-04,11918,5.2,1,2017,1,0,0,0,1,0,0,0,0,1,0,0,0,0
99,2,1225000.0,2017-01-04,11918,5.2,1,2017,1,0,0,0,1,0,0,0,0,0,0,0,1,0
100,3,1120000.0,2017-01-04,11918,5.2,1,2017,1,0,0,0,1,0,0,0,0,0,1,0,0,0
101,2,560000.0,2017-01-04,11918,5.2,1,2017,0,1,0,0,1,0,0,0,0,0,1,0,0,0
102,3,1685000.0,2017-01-04,11918,5.2,1,2017,1,0,0,0,1,0,0,0,0,0,1,0,0,0
103,2,625000.0,2017-01-04,11918,5.2,1,2017,0,0,1,0,1,0,0,0,0,0,1,0,0,0
104,3,1470000.0,2017-01-04,5533,4.0,1,2017,1,0,0,0,1,0,0,0,0,0,1,0,0,0
105,2,860000.0,2017-01-04,5533,4.0,1,2017,1,0,0,0,1,0,0,0,0,0,1,0,0,0
106,3,900000.0,2017-01-04,7082,5.2,1,2017,0,1,0,0,1,0,0,0,0,0,1,0,0,0
107,2,398000.0,2017-01-04,7082,5.2,1,2017,0,0,1,0,1,0,0,0,0,0,1,0,0,0
108,2,576000.0,2017-01-04,7082,5.2,1,2017,1,0,0,0,1,0,0,0,0,0,1,0,0,0
109,4,1400000.0,2017-01-04,7082,5.2,1,2017,1,0,0,0,1,0,0,0,0,0,0,0,0,1
111,3,850000.0,2017-01-04,7082,5.2,1,2017,1,0,0,0,1,0,0,0,0,1,0,0,0,0
112,4,1150000.0,2017-01-04,4480,10.8,1,2017,1,0,0,1,0,0,0,0,0,0,0,0,1,0
113,2,525000.0,2017-01-04,10175,12.1,1,2017,0,1,0,0,1,0,0,0,0,0,1,0,0,0
114,4,740000.0,2017-01-04,10175,12.1,1,2017,1,0,0,0,1,0,0,0,0,0,1,0,0,0
115,2,340000.0,2017-01-04,10175,12.1,1,2017,0,0,1,0,1,0,0,0,0,1,0,0,0,0
116,5,1265000.0,2017-01-04,5678,10.4,1,2017,1,0,0,0,0,0,1,0,0,0,1,0,0,0
117,3,1000000.0,2017-01-04,5678,10.4,1,2017,1,0,0,0,0,0,1,0,0,1,0,0,0,0
118,4,1460000.0,2017-01-04,4048,14.7,1,2017,0,1,0,1,0,0,0,0,0,0,1,0,0,0
119,4,1200000.0,2017-01-04,4048,14.7,1,2017,0,1,0,1,0,0,0,0,0,0,0,0,1,0
120,4,935000.0,2017-01-04,4048,14.7,1,2017,1,0,0,1,0,0,0,0,0,0,1,0,0,0
121,3,780000.0,2017-01-04,4048,14.7,1,2017,0,0,1,1,0,0,0,0,0,0,1,0,0,0
122,2,868000.0,2017-01-04,8920,7.7,1,2017,0,0,1,0,0,0,1,0,0,0,0,1,0,0
123,3,1375000.0,2017-01-04,8920,7.7,1,2017,0,1,0,0,0,0,1,0,0,0,1,0,0,0
124,2,1235000.0,2017-01-04,8920,7.7,1,2017,1,0,0,0,0,0,1,0,0,0,1,0,0,0
125,3,1510000.0,2017-01-04,8920,7.7,1,2017,1,0,0,0,0,0,1,0,0,1,0,0,0,0
126,3,1520000.0,2017-01-04,8920,7.7,1,2017,1,0,0,0,0,0,1,0,0,0,1,0,0,0
127,2,835000.0,2017-01-04,8920,7.7,1,2017,0,0,1,0,0,0,1,0,0,0,1,0,0,0
128,2,495000.0,2017-01-04,8920,7.7,1,2017,0,0,1,0,0,0,1,0,0,1,0,0,0,0
130,4,2100500.0,2017-01-04,8920,7.7,1,2017,1,0,0,0,0,0,1,0,0,0,1,0,0,0
131,5,3300000.0,2017-01-04,3265,8.4,1,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,1
133,2,1470000.0,2017-01-04,3106,3.5,1,2017,1,0,0,0,1,0,0,0,0,0,1,0,0,0
134,3,2410000.0,2017-01-04,3106,3.5,1,2017,1,0,0,0,1,0,0,0,0,0,1,0,0,0
135,4,1775000.0,2017-01-04,7822,10.1,1,2017,1,0,0,0,0,0,1,0,0,0,1,0,0,0
137,1,295000.0,2017-01-04,7822,10.1,1,2017,0,0,1,0,0,0,1,0,0,0,1,0,0,0
138,4,629000.0,2017-01-04,7719,14.8,1,2017,1,0,0,0,0,0,0,0,1,0,1,0,0,0
139,2,406000.0,2017-01-04,7719,14.8,1,2017,0,1,0,0,0,0,0,0,1,0,1,0,0,0
140,3,825000.0,2017-01-04,1989,31.2,1,2017,1,0,0,0,0,1,0,0,0,0,1,0,0,0
141,4,581500.0,2017-01-04,8060,34.9,1,2017,1,0,0,0,0,1,0,0,0,0,1,0,0,0
142,3,1400000.0,2017-01-04,608,8.4,1,2017,1,0,0,0,0,0,1,0,0,0,1,0,0,0
145,3,1538000.0,2017-01-04,5051,8.7,1,2017,1,0,0,0,0,0,1,0,0,0,1,0,0,0
146,3,1354000.0,2017-01-04,3582,11.7,1,2017,1,0,0,0,0,0,1,0,0,0,1,0,0,0
147,3,886000.0,2017-01-04,3906,27.0,1,2017,0,0,1,0,0,1,0,0,0,0,1,0,0,0
150,7,4000000.0,2017-01-04,5837,16.7,1,2017,1,0,0,0,0,1,0,0,0,0,1,0,0,0
151,4,1010000.0,2017-01-04,5837,16.7,1,2017,0,1,0,0,0,1,0,0,0,0,1,0,0,0
152,2,697500.0,2017-01-04,5837,16.7,1,2017,0,1,0,0,0,1,0,0,0,0,1,0,0,0
154,3,800000.0,2017-01-04,4734,17.5,1,2017,1,0,0,0,0,1,0,0,0,0,1,0,0,0
156,3,1805000.0,2017-01-04,2954,3.6,1,2017,1,0,0,0,1,0,0,0,0,0,1,0,0,0
157,3,1400000.0,2017-01-04,2954,3.6,1,2017,1,0,0,0,1,0,0,0,0,0,1,0,0,0
158,3,1032500.0,2017-01-04,11204,6.7,1,2017,1,0,0,0,1,0,0,0,0,0,1,0,0,0
159,3,1070000.0,2017-01-04,11204,6.7,1,2017,1,0,0,0,1,0,0,0,0,0,0,0,1,0
160,3,1005000.0,2017-01-04,11204,6.7,1,2017,1,0,0,0,1,0,0,0,0,0,1,0,0,0
161,2,905000.0,2017-01-04,11204,6.7,1,2017,1,0,0,0,1,0,0,0,0,0,0,0,1,0
162,2,412000.0,2017-01-04,11204,6.7,1,2017,0,0,1,0,1,0,0,0,0,0,1,0,0,0
163,1,333000.0,2017-01-04,11204,6.7,1,2017,0,0,1,0,1,0,0,0,0,0,0,0,1,0
164,2,797500.0,2017-01-04,11204,6.7,1,2017,1,0,0,0,1,0,0,0,0,0,1,0,0,0
165,2,430000.0,2017-01-04,11204,6.7,1,2017,0,0,1,0,1,0,0,0,0,0,0,0,1,0
166,2,490000.0,2017-01-04,3445,6.7,1,2017,0,1,0,0,1,0,0,0,0,0,1,0,0,0
167,4,960000.0,2017-01-04,3445,6.7,1,2017,1,0,0,0,1,0,0,0,0,0,0,0,1,0
169,2,960000.0,2017-01-04,4553,2.0,1,2017,0,0,1,0,1,0,0,0,0,0,1,0,0,0
170,3,356500.0,2017-01-04,15510,20.6,1,2017,1,0,0,0,1,0,0,0,0,0,1,0,0,0
172,4,580500.0,2017-01-04,15510,20.6,1,2017,1,0,0,0,1,0,0,0,0,0,1,0,0,0
173,3,573000.0,2017-01-04,15510,20.6,1,2017,1,0,0,0,1,0,0,0,0,0,1,0,0,0
174,4,475000.0,2017-01-04,15510,20.6,1,2017,1,0,0,0,1,0,0,0,0,0,0,0,1,0
175,3,385000.0,2017-01-04,15510,20.6,1,2017,0,1,0,0,1,0,0,0,0,0,1,0,0,0
177,3,475000.0,2017-01-04,6464,34.7,1,2017,1,0,0,0,0,1,0,0,0,0,1,0,0,0
178,3,744000.0,2017-01-04,11925,23.0,1,2017,0,1,0,1,0,0,0,0,0,0,0,0,1,0
181,3,746000.0,2017-01-04,11925,23.0,1,2017,1,0,0,1,0,0,0,0,0,0,1,0,0,0
182,3,965000.0,2017-01-04,11925,23.0,1,2017,1,0,0,1,0,0,0,0,0,0,1,0,0,0
183,3,455500.0,2017-01-04,2246,14.0,1,2017,1,0,0,0,1,0,0,0,0,0,1,0,0,0
184,3,800000.0,2017-01-04,10894,24.7,1,2017,1,0,0,0,0,1,0,0,0,0,0,0,1,0
185,3,610000.0,2017-01-04,10894,24.7,1,2017,1,0,0,0,0,1,0,0,0,0,1,0,0,0
187,2,307000.0,2017-01-04,8322,24.7,1,2017,0,0,1,0,0,1,0,0,0,0,1,0,0,0
189,2,1610000.0,2017-01-04,892,7.9,1,2017,1,0,0,0,0,0,1,0,0,0,1,0,0,0
190,5,589000.0,2017-01-04,6388,14.8,1,2017,1,0,0,0,0,0,0,0,1,0,1,0,0,0
191,4,603000.0,2017-01-04,6388,14.8,1,2017,1,0,0,0,0,0,0,0,1,0,1,0,0,0
192,3,335000.0,2017-01-04,2898,18.0,1,2017,1,0,0,0,0,0,0,0,1,0,1,0,0,0
193,4,730000.0,2017-01-04,4258,21.8,1,2017,1,0,0,0,0,0,0,1,0,0,0,0,1,0
194,4,920000.0,2017-01-04,3940,22.2,1,2017,1,0,0,0,0,1,0,0,0,0,1,0,0,0
195,3,770000.0,2017-01-04,3940,22.2,1,2017,1,0,0,0,0,1,0,0,0,0,1,0,0,0
196,4,1140000.0,2017-01-04,3940,22.2,1,2017,1,0,0,0,0,1,0,0,0,0,1,0,0,0
197,4,910000.0,2017-01-04,3940,22.2,1,2017,1,0,0,0,0,1,0,0,0,0,1,0,0,0
198,4,883850.0,2017-01-04,3940,22.2,1,2017,1,0,0,0,0,1,0,0,0,0,1,0,0,0
199,4,1556000.0,2017-01-04,9028,12.4,1,2017,1,0,0,1,0,0,0,0,0,0,1,0,0,0
201,4,1249000.0,2017-01-04,10999,14.3,1,2017,1,0,0,1,0,0,0,0,0,0,1,0,0,0
202,3,950000.0,2017-01-04,10999,14.3,1,2017,0,1,0,1,0,0,0,0,0,0,1,0,0,0
203,3,820000.0,2017-01-04,10999,14.3,1,2017,0,1,0,1,0,0,0,0,0,0,1,0,0,0
204,4,1730000.0,2017-01-04,10999,14.3,1,2017,1,0,0,1,0,0,0,0,0,0,1,0,0,0
206,3,1260000.0,2017-01-04,4790,16.1,1,2017,1,0,0,1,0,0,0,0,0,0,1,0,0,0
207,4,1300000.0,2017-01-04,4790,16.1,1,2017,1,0,0,1,0,0,0,0,0,0,0,0,1,0
208,3,1820000.0,2017-01-04,1651,8.9,1,2017,1,0,0,1,0,0,0,0,0,0,1,0,0,0
209,1,675000.0,2017-01-04,3040,1.3,1,2017,0,0,1,0,1,0,0,0,0,0,0,0,1,0
210,4,4150000.0,2017-01-04,3040,1.3,1,2017,1,0,0,0,1,0,0,0,0,0,1,0,0,0
211,3,1130000.0,2017-01-04,2546,27.0,1,2017,1,0,0,0,0,1,0,0,0,0,1,0,0,0
212,3,1683000.0,2017-01-04,4898,7.2,1,2017,0,1,0,0,0,0,1,0,0,0,1,0,0,0
214,3,2250000.0,2017-01-04,4898,7.2,1,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,1
215,3,840500.0,2017-01-04,6990,18.0,1,2017,1,0,0,1,0,0,0,0,0,0,0,0,1,0
216,3,900000.0,2017-01-04,6990,18.0,1,2017,1,0,0,1,0,0,0,0,0,0,1,0,0,0
217,3,837000.0,2017-01-04,6990,18.0,1,2017,1,0,0,1,0,0,0,0,0,0,1,0,0,0
218,4,1000000.0,2017-01-04,2346,18.0,1,2017,1,0,0,1,0,0,0,0,0,0,1,0,0,0
220,2,800000.0,2017-01-04,8989,7.2,1,2017,0,0,1,0,0,0,1,0,0,0,1,0,0,0
221,2,805000.0,2017-01-04,8989,7.2,1,2017,0,0,1,0,0,0,1,0,0,0,1,0,0,0
224,4,2985000.0,2017-01-04,8989,7.2,1,2017,1,0,0,0,0,0,1,0,0,0,1,0,0,0
226,4,690000.0,2017-01-04,8443,28.5,1,2017,1,0,0,0,0,1,0,0,0,0,1,0,0,0
227,3,497000.0,2017-01-04,10926,19.6,1,2017,1,0,0,0,1,0,0,0,0,0,1,0,0,0
228,3,507500.0,2017-01-04,10926,19.6,1,2017,1,0,0,0,1,0,0,0,0,0,1,0,0,0
229,5,1010000.0,2017-01-04,10926,19.6,1,2017,1,0,0,0,1,0,0,0,0,0,1,0,0,0
230,4,1930000.0,2017-01-04,9264,7.5,1,2017,1,0,0,0,0,0,0,0,1,0,1,0,0,0
231,4,1399000.0,2017-01-04,9264,7.5,1,2017,1,0,0,0,0,0,0,0,1,0,1,0,0,0
232,3,1512000.0,2017-01-04,9264,7.5,1,2017,1,0,0,0,0,0,0,0,1,0,1,0,0,0
233,4,2000000.0,2017-01-04,9264,7.5,1,2017,1,0,0,0,0,0,0,0,1,0,0,0,1,0
234,3,552000.0,2017-01-04,9264,7.5,1,2017,0,0,1,0,0,0,0,0,1,0,1,0,0,0
235,2,860000.0,2017-01-04,9264,7.5,1,2017,0,0,1,0,0,0,0,0,1,0,1,0,0,0
236,4,946000.0,2017-01-04,1308,8.2,1,2017,1,0,0,0,0,0,0,0,1,0,1,0,0,0
237,3,1430000.0,2017-01-04,588,7.5,1,2017,1,0,0,0,0,0,0,0,1,0,1,0,0,0
238,4,1270000.0,2017-01-04,2970,5.7,1,2017,1,0,0,0,1,0,0,0,0,0,0,1,0,0
239,3,635000.0,2017-01-04,5070,13.1,1,2017,1,0,0,0,1,0,0,0,0,0,1,0,0,0
240,3,630000.0,2017-01-04,5070,13.1,1,2017,1,0,0,0,1,0,0,0,0,1,0,0,0,0
241,3,705000.0,2017-01-04,5070,13.1,1,2017,1,0,0,0,1,0,0,0,0,0,1,0,0,0
242,3,625000.0,2017-01-04,5070,13.1,1,2017,0,1,0,0,1,0,0,0,0,0,1,0,0,0
243,3,665508.0,2017-01-04,10788,24.8,1,2017,1,0,0,1,0,0,0,0,0,0,0,0,1,0
244,3,691000.0,2017-01-04,10788,24.8,1,2017,1,0,0,1,0,0,0,0,0,0,1,0,0,0
246,4,815000.0,2017-01-04,10788,24.8,1,2017,1,0,0,1,0,0,0,0,0,0,1,0,0,0
247,3,730000.0,2017-01-04,10788,24.8,1,2017,1,0,0,1,0,0,0,0,0,0,1,0,0,0
249,1,720000.0,2017-01-04,5825,2.1,1,2017,0,0,1,0,1,0,0,0,0,0,0,0,1,0
250,3,1890000.0,2017-01-04,6244,3.6,1,2017,1,0,0,0,1,0,0,0,0,0,1,0,0,0
251,3,1454000.0,2017-01-04,6244,3.6,1,2017,1,0,0,0,1,0,0,0,0,0,1,0,0,0
252,4,2061000.0,2017-01-04,6244,3.6,1,2017,1,0,0,0,1,0,0,0,0,0,1,0,0,0
253,3,1310000.0,2017-01-04,6244,3.6,1,2017,1,0,0,0,1,0,0,0,0,0,0,0,1,0
254,2,995000.0,2017-01-04,6244,3.6,1,2017,0,0,1,0,1,0,0,0,0,0,1,0,0,0
255,4,3259000.0,2017-01-04,6244,3.6,1,2017,1,0,0,0,1,0,0,0,0,0,1,0,0,0
258,2,1325000.0,2017-01-04,6244,3.6,1,2017,1,0,0,0,1,0,0,0,0,0,1,0,0,0
259,1,331000.0,2017-01-04,7570,5.1,1,2017,0,0,1,0,0,0,0,0,1,0,0,0,1,0
260,3,1000000.0,2017-01-04,7570,5.1,1,2017,1,0,0,0,0,0,0,0,1,1,0,0,0,0
261,2,771000.0,2017-01-04,7570,5.1,1,2017,0,1,0,0,0,0,0,0,1,0,1,0,0,0
262,3,1260000.0,2017-01-04,4385,15.4,1,2017,1,0,0,1,0,0,0,0,0,0,1,0,0,0
263,3,508000.0,2017-01-04,17055,38.0,1,2017,1,0,0,0,0,1,0,0,0,0,1,0,0,0
264,2,501500.0,2017-01-04,17055,38.0,1,2017,1,0,0,0,0,1,0,0,0,0,1,0,0,0
265,3,450000.0,2017-01-04,2500,36.9,1,2017,1,0,0,0,0,0,0,1,0,0,1,0,0,0
266,4,351000.0,2017-01-04,7566,38.0,1,2017,1,0,0,0,0,1,0,0,0,0,0,0,1,0
267,4,650000.0,2017-01-04,3285,12.9,1,2017,1,0,0,0,0,0,0,0,1,0,1,0,0,0
269,3,3730000.0,2017-01-04,10412,7.3,1,2017,1,0,0,0,0,0,1,0,0,0,1,0,0,0
270,3,1225000.0,2017-01-04,10412,7.3,1,2017,1,0,0,0,0,0,1,0,0,0,1,0,0,0
272,4,1500000.0,2017-01-04,10412,7.3,1,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,1
275,4,1100080.0,2017-01-04,15321,16.7,1,2017,0,1,0,1,0,0,0,0,0,0,0,0,1,0
276,4,1520000.0,2017-01-04,15321,16.7,1,2017,1,0,0,1,0,0,0,0,0,0,0,0,1,0
277,7,1716000.0,2017-01-04,15321,16.7,1,2017,1,0,0,1,0,0,0,0,0,0,1,0,0,0
278,5,1100000.0,2017-01-04,15321,16.7,1,2017,1,0,0,1,0,0,0,0,0,1,0,0,0,0
279,4,1467000.0,2017-01-04,15321,16.7,1,2017,1,0,0,1,0,0,0,0,0,0,1,0,0,0
280,3,1600000.0,2017-01-04,15321,16.7,1,2017,1,0,0,1,0,0,0,0,0,1,0,0,0,0
281,4,1311000.0,2017-01-04,15321,16.7,1,2017,1,0,0,1,0,0,0,0,0,0,1,0,0,0
283,3,582000.0,2017-01-04,8870,11.2,1,2017,0,1,0,0,1,0,0,0,0,0,1,0,0,0
284,3,536000.0,2017-01-04,1071,12.9,1,2017,1,0,0,0,0,0,0,0,1,0,1,0,0,0
285,3,696000.0,2017-01-04,1071,12.9,1,2017,1,0,0,0,0,0,0,0,1,0,1,0,0,0
286,3,757000.0,2017-01-04,8524,16.1,1,2017,1,0,0,0,1,0,0,0,0,0,1,0,0,0
287,4,860000.0,2017-01-04,8524,16.1,1,2017,1,0,0,0,1,0,0,0,0,1,0,0,0,0
288,3,768000.0,2017-01-04,8524,16.1,1,2017,1,0,0,0,1,0,0,0,0,0,1,0,0,0
289,4,812000.0,2017-01-04,8524,16.1,1,2017,1,0,0,0,1,0,0,0,0,0,1,0,0,0
290,3,782000.0,2017-01-04,8524,16.1,1,2017,1,0,0,0,1,0,0,0,0,0,1,0,0,0
291,3,725000.0,2017-01-04,8524,16.1,1,2017,1,0,0,0,1,0,0,0,0,0,1,0,0,0
292,4,680000.0,2017-01-04,8524,16.1,1,2017,1,0,0,0,1,0,0,0,0,0,1,0,0,0
293,3,882000.0,2017-01-04,8524,16.1,1,2017,1,0,0,0,1,0,0,0,0,0,1,0,0,0
295,4,632000.0,2017-01-04,4864,20.4,1,2017,1,0,0,0,1,0,0,0,0,0,1,0,0,0
297,4,812000.0,2017-01-04,2606,11.2,1,2017,1,0,0,0,1,0,0,0,0,0,1,0,0,0
298,3,837000.0,2017-01-04,2606,11.2,1,2017,1,0,0,0,1,0,0,0,0,0,1,0,0,0
299,3,473000.0,2017-01-04,2606,11.2,1,2017,1,0,0,0,1,0,0,0,0,0,0,0,1,0
301,3,2288500.0,2017-01-04,5454,13.8,1,2017,1,0,0,0,0,0,1,0,0,0,1,0,0,0
